index,build,test_index,RATE,SIZE,NTHREADS,BATCH,CAPACITY,LISTS_PER_CORE,MEMPOOL_GPU,PERSISTENT_KERNEL,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,AVG-LAT,run_index
202,local,119,0.1,1024,4,64,256,16,true,true,,,1.0,,0
203,local,119,0.1,1024,4,64,256,16,true,true,,,1.0,,1
204,local,120,100.0,64,16,64,256,16,true,true,,,1.0,,0
205,local,120,100.0,64,16,64,256,16,true,true,,,1.0,,1
206,local,121,0.1,64,16,64,256,16,true,true,,0.0002848,1.0,,0
207,local,121,0.1,64,16,64,256,16,true,true,,,0.99999931188241,,1
208,local,122,100.0,256,16,64,256,16,true,true,,,1.0,,0
209,local,122,100.0,256,16,64,256,16,true,true,,,1.0,,1
210,local,123,0.1,256,16,64,256,16,true,true,,,1.0,,0
211,local,123,0.1,256,16,64,256,16,true,true,,,1.0,,1
212,local,124,100.0,1024,16,64,256,16,true,true,,,1.0,,0
213,local,124,100.0,1024,16,64,256,16,true,true,,,1.0,,1
214,local,125,0.1,1024,16,64,256,16,true,true,,0.0002848,1.0,,0
215,local,125,0.1,1024,16,64,256,16,true,true,,,0.99999931194302,,1
216,local,126,100.0,64,1,256,256,16,true,true,6929111.0,4656.362624,0.87018029722599,0.00049528395061728,0
217,local,126,100.0,64,1,256,256,16,true,true,6926724.0,4654.7600064,0.8699895409403,0.0004856149691358,1
218,local,127,0.1,64,1,256,256,16,true,true,145189.0,97.5764224,0.0011915056379818,0.0012411986882716,0
219,local,127,0.1,64,1,256,256,16,true,true,145202.0,97.5852096,0.0010113553882194,0.001238818287037,1
220,local,128,100.0,256,1,256,256,16,true,true,6652289.0,14688.2343936,0.84378529442914,0.0006218001543209901,0
221,local,128,100.0,256,1,256,256,16,true,true,6627261.0,14632.9710528,0.84517263378362,0.00064500964506173,1
222,local,129,0.1,256,1,256,256,16,true,true,145169.0,320.3970912,0.0011511201231348,0.0012582399691358,0
223,local,129,0.1,256,1,256,256,16,true,true,145179.0,320.4185728,0.0013049567720171,0.00124434375,1
224,local,130,100.0,1024,1,256,256,16,true,true,6592390.0,55059.2143328,0.43874453020101,0.0009006763117284,0
225,local,130,100.0,1024,1,256,256,16,true,true,6555171.0,54748.3907328,0.44187246474748,0.0009089498456790099,1
226,local,131,0.1,1024,1,256,256,16,true,true,145284.0,1212.6926848,0.00031652036774166,0.0012795200617283999,0
