index,build,test_index,RATE,SIZE,NTHREADS,BATCH,CAPACITY,QUEUES_PER_CORE,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,AVG-LAT,run_index
213,local,149,0.1,1024,1,1024,256,16,145328.0,1213.0762752,0.00013209676087733,0.0011626790123457,1
214,local,150,100.0,64,3,1024,256,16,3665305.0,2463.086064,0.93222902253904,0.013033276234568,0
215,local,150,100.0,64,3,1024,256,16,3656704.0,2457.3056928,0.93220105542448,0.01359487654321,1
216,local,151,0.1,64,3,1024,256,16,145336.0,97.675392,,0.0011198209876543,0
217,local,152,100.0,256,3,1024,256,16,3674419.0,8113.1067936,0.91317094404462,0.016254080632716,0
218,local,152,100.0,256,3,1024,256,16,3669094.0,8101.3476192,0.91329312766558,0.012032538580246999,1
219,local,154,100.0,1024,3,1024,256,16,3613286.0,30177.950352,0.68335318886526,0.017428512731481,0
220,local,154,100.0,1024,3,1024,256,16,3561881.0,29748.6060864,0.68730451987195,0.018906776620370002,1
221,local,156,100.0,64,6,1024,256,16,3827485.0,2572.069248,0.92860726469989,0.014428895061728,0
222,local,156,100.0,64,6,1024,256,16,3957430.0,2659.3938816,0.92666810060611,0.016756897376542998,1
223,local,158,100.0,256,6,1024,256,16,3914649.0,8643.5347936,0.9072360247464,0.025905522376543,0
224,local,158,100.0,256,6,1024,256,16,3858739.0,8520.0843456,0.90870620779793,0.028781908179012,1
225,local,160,100.0,1024,6,1024,256,16,3338240.0,27880.7661376,0.70740748882334,0.0093165563271605,0
226,local,160,100.0,1024,6,1024,256,16,3342233.0,27914.1348096,0.70664965154617,0.0093805841049383,1
